Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5023809523809524,{}
RandomForestClassifier,0.5857142857142856,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}"
KNeighborsClassifier,0.6357142857142858,"{'n_neighbors': 5, 'p': 1}"
LogisticRegression,0.5333333333333334,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5333333333333333,"{'C': 2.0, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.7476190476190478,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10), 'max_iter': 1500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5904761904761904,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
