Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4714285714285714,{}
RandomForestClassifier,0.6928571428571428,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40}"
KNeighborsClassifier,0.7047619047619047,"{'n_neighbors': 2, 'p': 1}"
LogisticRegression,0.5,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5,"{'C': 1.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6428571428571429,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'max_iter': 1500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.6571428571428571,"{'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
