Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.46904761904761905,{}
RandomForestClassifier,0.5571428571428572,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}"
KNeighborsClassifier,0.5714285714285714,"{'n_neighbors': 1, 'p': 2}"
LogisticRegression,0.48571428571428577,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.55,"{'C': 1.0, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.5857142857142857,"{'activation': 'relu', 'hidden_layer_sizes': (50, 50), 'max_iter': 500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
