Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5349999999999999,{}
RandomForestClassifier,0.6166666666666666,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 40}"
KNeighborsClassifier,0.71,"{'n_neighbors': 5, 'p': 2}"
LogisticRegression,0.5,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.6933333333333332,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6633333333333333,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5833333333333333,"{'learning_rate': 0.15, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200}"
