Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4595238095238095,{}
RandomForestClassifier,0.5047619047619047,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
KNeighborsClassifier,0.5,"{'n_neighbors': 10, 'p': 1}"
LogisticRegression,0.4904761904761905,"{'C': 1.5, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.5333333333333334,"{'C': 2.0, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.5833333333333334,"{'activation': 'tanh', 'hidden_layer_sizes': (5, 5), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5047619047619047,"{'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
