Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.45714285714285713,{}
RandomForestClassifier,0.5571428571428572,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40}"
KNeighborsClassifier,0.5,"{'n_neighbors': 20, 'p': 1}"
LogisticRegression,0.4714285714285714,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5333333333333334,"{'C': 1.5, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.530952380952381,"{'activation': 'logistic', 'hidden_layer_sizes': (5, 5), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
