Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.45999999999999996,{}
RandomForestClassifier,0.61,"{'criterion': 'gini', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 10}"
KNeighborsClassifier,0.5933333333333334,"{'n_neighbors': 3, 'p': 1}"
LogisticRegression,0.4683333333333334,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.6066666666666667,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6066666666666667,"{'activation': 'relu', 'hidden_layer_sizes': (50, 50), 'max_iter': 1000, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
