Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.595,{}
RandomForestClassifier,0.595,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}"
KNeighborsClassifier,0.595,"{'n_neighbors': 20, 'p': 1}"
LogisticRegression,0.41,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5399999999999999,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6199999999999999,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'max_iter': 500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
