Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.595,{}
RandomForestClassifier,0.5549999999999999,"{'criterion': 'entropy', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.595,"{'n_neighbors': 10, 'p': 2}"
LogisticRegression,0.575,"{'C': 1.5, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.6050000000000001,"{'C': 2.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.65,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'max_iter': 100, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.52,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
