Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5399999999999999,{}
RandomForestClassifier,0.5883333333333333,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40}"
KNeighborsClassifier,0.5,"{'n_neighbors': 10, 'p': 2}"
LogisticRegression,0.4666666666666666,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5499999999999999,"{'C': 1.0, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.6100000000000001,"{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'max_iter': 500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5216666666666667,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
