Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4714285714285714,{}
RandomForestClassifier,0.5404761904761906,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
KNeighborsClassifier,0.5214285714285716,"{'n_neighbors': 2, 'p': 1}"
LogisticRegression,0.5047619047619047,"{'C': 1.5, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.5690476190476191,"{'C': 1.0, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.6166666666666666,"{'activation': 'tanh', 'hidden_layer_sizes': (5, 5), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5047619047619047,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
