Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4966666666666667,{}
RandomForestClassifier,0.5666666666666667,"{'criterion': 'gini', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.6183333333333334,"{'n_neighbors': 1, 'p': 2}"
LogisticRegression,0.55,"{'C': 2.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.6833333333333333,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.7166666666666666,"{'activation': 'relu', 'hidden_layer_sizes': (50, 50), 'max_iter': 1000, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5183333333333333,"{'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
