Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.605,{}
RandomForestClassifier,0.6916666666666667,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.6966666666666667,"{'n_neighbors': 1, 'p': 2}"
LogisticRegression,0.5633333333333332,"{'C': 1.5, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.5466666666666666,"{'C': 2.0, 'kernel': 'linear', 'tol': 0.001}"
MLPClassifier,0.7466666666666667,"{'activation': 'tanh', 'hidden_layer_sizes': (5, 5), 'max_iter': 1000, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.6566666666666666,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
