Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.475,{}
RandomForestClassifier,0.5599999999999999,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.5449999999999999,"{'n_neighbors': 20, 'p': 2}"
LogisticRegression,0.395,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.51,"{'C': 1.5, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.5549999999999999,"{'activation': 'relu', 'hidden_layer_sizes': (5, 5), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5050000000000001,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
