Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4595238095238095,{}
RandomForestClassifier,0.5619047619047619,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.8047619047619049,"{'n_neighbors': 2, 'p': 1}"
LogisticRegression,0.5333333333333334,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.55,"{'C': 1.5, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.6904761904761905,"{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'max_iter': 1000, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5904761904761905,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
