Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.595,{}
RandomForestClassifier,0.58,"{'criterion': 'gini', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 10}"
KNeighborsClassifier,0.6449999999999999,"{'n_neighbors': 1, 'p': 2}"
LogisticRegression,0.47000000000000003,"{'C': 1.5, 'solver': 'sag', 'tol': 0.01}"
SVC,0.7050000000000001,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.665,"{'activation': 'relu', 'hidden_layer_sizes': (5, 5), 'max_iter': 1500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5700000000000001,"{'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100}"
