Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.38,{}
RandomForestClassifier,0.5800000000000001,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}"
KNeighborsClassifier,0.64,"{'n_neighbors': 2, 'p': 2}"
LogisticRegression,0.295,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.6549999999999999,"{'C': 2.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6449999999999999,"{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'max_iter': 1000, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.505,"{'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100}"
