Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.43499999999999994,{}
RandomForestClassifier,0.58,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.525,"{'n_neighbors': 3, 'p': 1}"
LogisticRegression,0.43499999999999994,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5399999999999999,"{'C': 1.0, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.55,"{'activation': 'relu', 'hidden_layer_sizes': (5, 5), 'max_iter': 100, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.545,"{'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
